Reference,Externí číslo,Odběratel-Název,Sklad,Zdroj-číslo,Název Položky,Počet,Chtěl,Jednotková cena v měně,Cena základ v měně,Expire Date,Doznačení,Rozdíl v ceně,DU balení
,,Penta Lebanon s.a.r.l.,AC20,4136E,Lady Cream,,,0.98,11.74,,,,
,,Penta Lebanon s.a.r.l.,AC20,4163B,Hyaluron Therapy 3D remodelační denní kr,,,2.60,62.33,,,,
,,Penta Lebanon s.a.r.l.,AC20,4164A,Hyaluron Therapy 3D remodelační noční kr,,,2.60,62.33,,,,
,,Penta Lebanon s.a.r.l.,AC20,4165A,Hyaluron Therapy 3D remodelační krém na,,,1.55,31.05,,,,
,,Penta Lebanon s.a.r.l.,AC20,5002,Hyaluron Therapy 3D sérum,,,1.55,43.46,,,,
,,Penta Lebanon s.a.r.l.,AC20,4175,Collagen plus Intenzivní omlazující denn,,,2.12,50.94,,,,
,,Penta Lebanon s.a.r.l.,AC20,4176,Collagen plus Intenzivní omlazující nočn,,,2.12,50.94,,,,
,,Penta Lebanon s.a.r.l.,AC20,4177,Collagen plus Intenzivní omlazující krém,,,1.45,29.09,"Datum Expirace: 20.11.2022, Měsíců: 17,9, Datum Expirace: 18.04.2023, Měsíců: 22,8, Datum Expirace: 28.05.2023, Měsíců: 24,1, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E4080A,Whitening face cream,0,40,1.96,78.32,,"Vybraný produkt: E4080A ",,
,,Penta Lebanon s.a.r.l.,AC20,4348,Acneclear pleťový peeling s jojobou,,,1.14,45.71,"Datum Expirace: 02.11.2022, Měsíců: 17,3, Datum Expirace: 08.09.2023, Měsíců: 27,5, ",,,
,,Penta Lebanon s.a.r.l.,AC20,4352A,Acneclear hydratační gel-krém,,,1.47,58.72,,,,
,,Penta Lebanon s.a.r.l.,AC20,4362,Acneclear pleťová voda pro problematicko,,,0.98,35.21,,,,
,,Penta Lebanon s.a.r.l.,AC20,4363,Acneclear odličovací gel pro problematic,,,1.14,41.14,,,,
,,Penta Lebanon s.a.r.l.,AC20,4060/EX,Sensitive Calming Cream,,,1.47,88.08,"Datum Expirace: 24.06.2022, Měsíců: 13,0, ",Požadovaný produkt 4060 nahrazen produktem 4060/EX,,
,,Penta Lebanon s.a.r.l.,AC20,4193,Sensitive šetrné pleťové mléko pro citli,,,1.14,41.14,,,,
,,Penta Lebanon s.a.r.l.,AC20,4189,Hyaluron čisticí micelární voda 400 ml,,,1.47,29.36,,,,
,,Penta Lebanon s.a.r.l.,AC20,4174,Aqua beauty hydratační krém,,,1.63,58.78,,,,
,,Penta Lebanon s.a.r.l.,AC20,5115,Aqua Beauty 3v1 mycí gel na obličej,,,0.90,89.77,,," Rozdíl ceny Helios: 89.77 vs excel objednávky 89.83; ",
,,Penta Lebanon s.a.r.l.,AC20,4059A,Vital balance cream,0,60,1.47,88.08,,"Vybraný produkt: 4059A ",,
,,Penta Lebanon s.a.r.l.,AC20,5123,Gommage Cleanser čisticí gel na obličej,,,0.90,179.54,"Datum Expirace: 16.04.2022, Měsíců: 10,8, Datum Expirace: 17.01.2023, Měsíců: 19,8, Datum Expirace: 16.01.2023, Měsíců: 19,8, Datum Expirace: 15.06.2023, Měsíců: 24,7, Datum Expirace: 16.06.2023, Měsíců: 24,8, ",," Rozdíl ceny Helios: 179.54 vs excel objednávky 179.67; ",
,,Penta Lebanon s.a.r.l.,AC20,4235,Cannabis CBD sérum,,,1.45,61.08,,,,
,,Penta Lebanon s.a.r.l.,AC20,4236,Cannabis pleťový krém,,,2.04,73.52,,,,
,,Penta Lebanon s.a.r.l.,AC20,4237,Cannabis detoxikační jílová maska,,,1.19,35.75,,,,
,,Penta Lebanon s.a.r.l.,AC20,4239,Cannabis čisticí krém na tvář,0,60,0.82,48.92,,,,
,,Penta Lebanon s.a.r.l.,AC20,4240,Cannabis tělové máslo,,,1.14,54.85,,,,
,,Penta Lebanon s.a.r.l.,AC20,4241,Cannabis tělové mléko,,,1.14,41.14,,,,
,,Penta Lebanon s.a.r.l.,AC20,4242,Cannabis intimní mycí emulze,,,0.98,176.05,,," Rozdíl ceny Helios: 176.05 vs excel objednávky 176.11; ",
,,Penta Lebanon s.a.r.l.,AC20,4316C,Oční gel na unavené oči - Eye Gold Gel,,,1.29,51.59,"Datum Expirace: 06.02.2022, Měsíců: 8,5, Datum Expirace: 14.05.2023, Měsíců: 23,7, Datum Expirace: 11.02.2024, Měsíců: 32,6, Datum Expirace: 11.02.2024, Měsíců: 32,6, ",,,
,,Penta Lebanon s.a.r.l.,AC20,4191,Sensitive neparfémovaný odličovač na cit,,,1.31,46.99,"Datum Expirace: 23.09.2022, Měsíců: 16,0, Datum Expirace: 23.09.2022, Měsíců: 16,0, Datum Expirace: 11.09.2023, Měsíců: 27,6, Datum Expirace: 11.09.2023, Měsíců: 27,6, ",,,
,,Penta Lebanon s.a.r.l.,AC20,5142C,Acneclear Maska - jednorázová maska,0,30,0.46,13.70,,"Vybraný produkt: 5142C ",,
,,Penta Lebanon s.a.r.l.,AC20,5154,Hyaluron Therapy 3D remodelační pleťová,,,0.49,14.64,,,,
,,Penta Lebanon s.a.r.l.,AC20,5162,Textilní Intenzivně liftingová maska,,,0.49,7.32,,,,
,,Penta Lebanon s.a.r.l.,AC20,5163,Black magic Detoxikační slupovací maska,,,1.31,26.11,,,,
,,Penta Lebanon s.a.r.l.,AC20,4374A,SOS Repair Intenzivní regenerační krém n,,,0.65,39.16,,," Rozdíl ceny Helios: 39.16 vs excel objednávky 39.10; ",
,,Penta Lebanon s.a.r.l.,AC20,4609,Antibakteriální mýdlo na ruce 250 ml,,,0.98,29.34,,,,
,,Penta Lebanon s.a.r.l.,AC20,5214A,Happy feet  Zvláčňující krém na nohy,,,0.73,43.98,,,,
,,Penta Lebanon s.a.r.l.,AC20,5215A,Soft heel změkčující balzám na paty,,,0.73,43.98,,,,
,,Penta Lebanon s.a.r.l.,AC20,4040B,Aroma Ritual - SG hrozny s limetkou,,,0.73,11.00,,,,
,,Penta Lebanon s.a.r.l.,AC20,4041B,Aroma Ritual - SG vodní meloun,,,0.73,11.00,,,,
,,Penta Lebanon s.a.r.l.,AC20,4100B,Aroma Ritual – SG černá třešeň,,,0.73,11.00,,,,
,,Penta Lebanon s.a.r.l.,AC20,4117,Aroma Ritual - SG růžový grep,,,0.73,11.00,,,,
,,Penta Lebanon s.a.r.l.,AC20,4121,Aroma Ritual - SG meruňka a meloun,,,0.73,11.00,"Datum Expirace: 17.10.2022, Měsíců: 16,8, Datum Expirace: 12.02.2023, Měsíců: 20,7, Datum Expirace: 13.02.2023, Měsíců: 20,7, ",,,
,,Penta Lebanon s.a.r.l.,AC20,4123,Aroma Ritual - SG Zelený čaj a Opuncie,,,0.73,11.00,"Datum Expirace: 04.10.2022, Měsíců: 16,4, Datum Expirace: 24.11.2022, Měsíců: 18,1, Datum Expirace: 01.09.2023, Měsíců: 27,3, Datum Expirace: 01.09.2023, Měsíců: 27,3, ",,,
,,Penta Lebanon s.a.r.l.,AC20,4215,Aroma Ritual - SG Bíla broskev,,,0.73,11.00,"Datum Expirace: 17.09.2022, Měsíců: 15,8, Datum Expirace: 17.09.2022, Měsíců: 15,8, Datum Expirace: 10.07.2023, Měsíců: 25,5, ",,,
,,Penta Lebanon s.a.r.l.,AC20,4216,Aroma Ritual - SG Makadamiový lanýž,,,0.73,11.00,,,,
,,Penta Lebanon s.a.r.l.,AC20,4507,Karité regenerační tělový krém,,,1.14,27.42,,,,
,,Penta Lebanon s.a.r.l.,AC20,1434,White Magic Aktivní podkladová báze,,,1.91,57.37,"Datum Expirace: 23.09.2022, Měsíců: 16,0, Datum Expirace: 13.10.2022, Měsíců: 16,7, Datum Expirace: 13.10.2022, Měsíců: 16,7, Datum Expirace: 16.11.2022, Měsíců: 17,8, Datum Expirace: 24.06.2023, Měsíců: 25,0, Datum Expirace: 25.06.2023, Měsíců: 25,0, ",,,
,,Penta Lebanon s.a.r.l.,AC20,1410A,Satin make-up base 30ml - Vyhlazující bá,,,2.46,147.50,,,,
,,Penta Lebanon s.a.r.l.,AC20,1421,"Pearl energy make-up base, 20 ml",,,1.91,57.37,,,,
,,Penta Lebanon s.a.r.l.,AC20,1422,"Gold anti-wrinkle make-up base, 20 ml",,,1.91,57.37,,,,
,,Penta Lebanon s.a.r.l.,AC20,1411A,Matt control make-up báze,,,1.64,88.47,,,,
